scientificName,class,order,family,genus,specificEpithet,infraspecificEpithet,vernacularName,dynamicProperties,iucnRegionalStatus
Neoxolmis rufiventris,Aves,Passeriformes,Tyrannidae,Neoxolmis,rufiventris,,viudita chocolate,LC,
Netta peposaca,Aves,Anseriformes,Anatidae,Netta,peposaca,,pato picazo,LC,
Nomonyx dominicus,Aves,Anseriformes,Anatidae,Nomonyx,dominicus,,,LC,
Nothura maculosa,Aves,Tinamiformes,Tinamidae,Nothura,maculosa,,perdiz,LC,
Notiochelidon cyanoleuca,Aves,Passeriformes,Hirundinidae,Notiochelidon,cyanoleuca,,golondrina azul chica,LC,
Numenius phaeopus,Aves,Charadriiformes,Scolopacidae,Numenius,phaeopus,,playero trinador,LC,
Nyctibius griseus,Aves,Nyctibiiformes,Nyctibiidae,Nyctibius,griseus,,urutaú,LC,
Nycticorax nycticorax,Aves,Pelecaniformes,Ardeidae,Nycticorax,nycticorax,,garza bruja,LC,
Nycticryphes semicollaris,Aves,Charadriiformes,Rostratulidae,Nycticryphes,semicollaris,,aguatero,LC,
Nyctidromus albicollis,Aves,Caprimulgiformes,Caprimulgidae,Nyctidromus,albicollis,,curiango,LC,
Oceanites oceanicus,Aves,Procellariiformes,Hydrobatidae,Oceanites,oceanicus,,paíño pardo,LC,
Oreopholus ruficollis,Aves,Charadriiformes,Charadriidae,Oreopholus,ruficollis,,chorlo cabezón,LC,EN
Oxyura vittata,Aves,Anseriformes,Anatidae,Oxyura,vittata,,pato zambullidor,LC,
Pachyptila belcheri,Aves,Procellariiformes,Procellariidae,Pachyptila,belcheri,,prión pico fino,LC,
Pachyptila desolata,Aves,Procellariiformes,Procellariidae,Pachyptila,desolata,,prión pico ancho,LC,
Pachyramphus polychopterus,Aves,Passeriformes,Cotingidae,Pachyramphus,polychopterus,,anambé negro,LC,
Pachyramphus validus,Aves,Passeriformes,Cotingidae,Pachyramphus,validus,,anambé,LC,
Pachyramphus viridis,Aves,Passeriformes,Cotingidae,Pachyramphus,viridis,,abambé verdoso,LC,
Pandion haliaetus,Aves,Accipitriformes,Pandionidae,Pandion,haliaetus,,águila pescadora,LC,
Parabuteo unicinctus,Aves,Accipitriformes,Accipitridae,Parabuteo,unicinctus,,gavilán mixto,LC,
Pardirallus maculatus,Aves,Gruiformes,Rallidae,Pardirallus,maculatus,,gallineta overa,LC,
Pardirallus sanguinolentus,Aves,Gruiformes,Rallidae,Pardirallus,sanguinolentus,,gallineta común,LC,
Paroaria capitata,Aves,Passeriformes,Thraupidae,Paroaria,capitata,,cardenilla,LC,
Paroaria coronata,Aves,Passeriformes,Thraupidae,Paroaria,coronata,,cardenal copete rojo,LC,
Passer domesticus,Aves,Passeriformes,Passeridae,Passer,domesticus,,gorrión,LC,
Patagioenas cayennensis,Aves,Columbiformes,Columbidae,Patagioenas,cayennensis,,paloma colorada,LC,
Patagioenas maculosa,Aves,Columbiformes,Columbidae,Patagioenas,maculosa,,paloma ala manchada,LC,
Patagioenas picazuro,Aves,Columbiformes,Columbidae,Patagioenas,picazuro,,paloma de monte,LC,
Penelope obscura,Aves,Galliformes,Cracidae,Penelope,obscura,,pava de monte,LC,
Petrochelidon pyrrhonota,Aves,Passeriformes,Hirundinidae,Petrochelidon,pyrrhonota,,golondrina rabadilla canela,LC,
Phacellodomus ferrugineigula,Aves,Passeriformes,Furnariidae,Phacellodomus,ferrugineigula,,tiotío ojo rojo,LC,
Phacellodomus ruber,Aves,Passeriformes,Furnariidae,Phacellodomus,ruber,,tiotío grande,LC,
Phacellodomus sibilatrix,Aves,Passeriformes,Furnariidae,Phacellodomus,sibilatrix,,tiotío chico,LC,
Phacellodomus striaticollis,Aves,Passeriformes,Furnariidae,Phacellodomus,striaticollis,,tiotío común,LC,
Phaetusa simplex,Aves,Charadriiformes,Laridae,Phaetusa,simplex,,atí,LC,
Phalacrocorax brasilianus,Aves,Suliformes,Phalacrocoracidae,Phalacrocorax,brasilianus,,biguá,LC,
Phalaropus tricolor,Aves,Charadriiformes,Scolopacidae,Phalaropus,tricolor,,falaropo común,LC,
Phimosus infuscatus,Aves,Pelecaniformes,Threskiornithidae,Phimosus,infuscatus,,cuervillo cara pelada,LC,
Phleocryptes melanops,Aves,Passeriformes,Furnariidae,Phleocryptes,melanops,,junquero,LC,
Phoenicopterus chilensis,Aves,Phoenicopteriformes,Phoenicopteridae,Phoenicopterus,chilensis,,flamenco austral,NT,
Phrygilus fruticeti,Aves,Passeriformes,Thraupidae,Phrygilus,fruticeti,,yal negro,LC,
Phylloscartes ventralis,Aves,Passeriformes,Tyrannidae,Phylloscartes,ventralis,,ligerito,LC,
